CustomerID,RegisterDate,Gender,BirthYear,Addr1,Addr2,Age,AgeGroup,OrderID,Seq,OrderDate,ProductID,Qty,Amt,Year,Month,churn,Register,Visit_3M_Cnt,Amt_3M_sum
c329284,2014-10-06,F,1979.0,경기도,성남시,37.0,30.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2014-10-06,,
c349582,2015-05-23,F,1981.0,경기도,성남시,35.0,30.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2015-05-23,,
c357744,2015-08-28,F,1985.0,경기도,성남시,31.0,30.0,229.0,1.0,2016-08-31 00:00:00,p1005891,1.0,1950.0,2016.0,8.0,0,2015-08-28,3.0,11150.0
c381060,2016-06-12,F,1992.0,경기도,수원시,24.0,20.0,153.0,5.0,2016-07-09 00:00:00,p1012581,1.0,1050.0,2016.0,7.0,1,2016-06-12,,
c328664,2014-09-30,F,1979.0,경기도,수원시,37.0,30.0,197.0,7.0,2016-08-25 00:00:00,p1139681,2.0,1818.0,2016.0,8.0,1,2014-09-30,3.0,3081.0
c391152,2016-10-19,F,1965.0,경기도,수원시,51.0,50.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0,2016-10-19,,
c323093,2014-07-23,M,1978.0,경기도,안산시,38.0,30.0,97.0,2.0,2016-12-30 00:00:00,p1005771,2.0,3700.0,2016.0,12.0,0,2014-07-23,1.0,4850.0
c316358,2014-05-14,F,1950.0,경기도,안산시,66.0,60.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2014-05-14,,
c356629,2015-08-17,F,1984.0,경기도,안성시,32.0,30.0,39.0,2.0,2016-08-15 00:00:00,p1284851,1.0,2750.0,2016.0,8.0,0,2015-08-17,2.0,6450.0
c307519,2014-02-08,F,1953.0,경기도,안양시,63.0,60.0,63.0,2.0,2016-10-15 00:00:00,p1005771,1.0,1850.0,2016.0,10.0,1,2014-02-08,3.0,7300.0
c341307,2015-02-24,F,1967.0,경기도,용인시,49.0,40.0,15.0,2.0,2016-08-14 00:00:00,p1162631,1.0,4600.0,2016.0,8.0,1,2015-02-24,,
c353614,2015-07-07,F,1984.0,경기도,용인시,32.0,30.0,209.0,2.0,2016-08-03 00:00:00,p1072601,1.0,4600.0,2016.0,8.0,0,2015-07-07,4.0,14700.0
c358171,2015-09-02,F,1977.0,경기도,용인시,39.0,30.0,13.0,1.0,2016-11-25 00:00:00,p1005891,1.0,1950.0,2016.0,11.0,0,2015-09-02,1.0,1950.0
c327669,2014-09-19,F,1957.0,경기도,파주시,59.0,50.0,91.0,2.0,2016-10-27 00:00:00,p1256521,-1.0,-1850.0,2016.0,10.0,0,2014-09-19,2.0,1350.0
c354346,2015-07-16,F,1973.0,경기도,평택시,43.0,40.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0,2015-07-16,,
c341135,2015-02-22,F,1962.0,경기도,화성시,54.0,50.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0,2015-02-22,,
c357840,2015-08-31,F,1981.0,경기도,고양시,35.0,30.0,55.0,5.0,2016-07-19 00:00:00,p1175481,1.0,1300.0,2016.0,7.0,0,2015-08-31,2.0,10100.0
c312251,2014-04-01,F,1981.0,경기도,고양시,35.0,30.0,123.0,4.0,2016-09-27 00:00:00,p1100371,1.0,400.0,2016.0,9.0,0,2014-04-01,1.0,400.0
c340893,2015-02-15,F,1976.0,경기도,고양시,40.0,40.0,141.0,2.0,2016-09-01 00:00:00,p1097591,1.0,600.0,2016.0,9.0,1,2015-02-15,,
c354478,2015-07-18,F,1977.0,경기도,고양시,39.0,30.0,129.0,2.0,2016-07-27 00:00:00,p1246581,3.0,3408.0,2016.0,7.0,0,2015-07-18,3.0,20970.0
c310553,2014-03-13,F,1971.0,경기도,고양시,45.0,40.0,115.0,1.0,2016-07-12 00:00:00,p1149411,1.0,1000.0,2016.0,7.0,0,2014-03-13,5.0,33350.0
c367481,2016-01-04,F,1968.0,경기도,고양시,48.0,40.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2016-01-04,,
c323069,2014-07-23,F,1957.0,경기도,고양시,59.0,50.0,117.0,2.0,2016-07-07 00:00:00,p1097591,1.0,600.0,2016.0,7.0,1,2014-07-23,,
c324337,2014-08-09,F,1979.0,경기도,고양시,37.0,30.0,35.0,11.0,2016-09-27 00:00:00,p1052661,1.0,1455.0,2016.0,9.0,0,2014-08-09,2.0,15085.0
c343469,2015-03-19,F,1983.0,경기도,고양시,33.0,30.0,19.0,1.0,2016-07-04 00:00:00,p1133371,2.0,2000.0,2016.0,7.0,0,2015-03-19,9.0,42150.0
c344134,2015-03-26,F,1963.0,경기도,고양시,53.0,50.0,193.0,5.0,2016-09-22 00:00:00,p1026741,1.0,3227.0,2016.0,9.0,0,2015-03-26,,
c353494,2015-07-06,F,1961.0,경기도,고양시,55.0,50.0,5.0,2.0,2016-07-02 00:00:00,p1200641,1.0,5200.0,2016.0,7.0,0,2015-07-06,18.0,86240.0
c356904,2015-08-20,M,1973.0,경기도,고양시,43.0,40.0,45.0,3.0,2016-07-28 00:00:00,p1001771,1.0,3600.0,2016.0,7.0,0,2015-08-20,2.0,1200.0
c363730,2015-11-13,M,1979.0,경기도,고양시,37.0,30.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2015-11-13,,
c365459,2015-12-06,F,1979.0,경기도,고양시,37.0,30.0,135.0,1.0,2016-07-17 00:00:00,p1013251,2.0,3300.0,2016.0,7.0,0,2015-12-06,5.0,53970.0
c307738,2014-02-11,M,1977.0,경기도,고양시,39.0,30.0,87.0,1.0,2016-08-29 00:00:00,p1162631,2.0,9200.0,2016.0,8.0,0,2014-02-11,7.0,100170.0
c308455,2014-02-18,F,1972.0,경기도,고양시,44.0,40.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2014-02-18,,
c314866,2014-04-28,F,1979.0,경기도,고양시,37.0,30.0,163.0,1.0,2016-07-12 00:00:00,p1200641,1.0,4600.0,2016.0,7.0,0,2014-04-28,5.0,37058.0
c318126,2014-05-29,F,1968.0,경기도,고양시,48.0,40.0,155.0,4.0,2016-07-03 00:00:00,p1233511,1.0,2050.0,2016.0,7.0,0,2014-05-29,9.0,25878.0
c331655,2014-10-29,M,1982.0,경기도,고양시,34.0,30.0,93.0,3.0,2016-07-18 00:00:00,p1072601,1.0,4600.0,2016.0,7.0,1,2014-10-29,,
c342735,2015-03-11,F,1979.0,경기도,고양시,37.0,30.0,33.0,3.0,2016-07-07 00:00:00,p1005771,1.0,1850.0,2016.0,7.0,0,2015-03-11,8.0,58633.0
c353857,2015-07-10,F,1982.0,경기도,고양시,34.0,30.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2015-07-10,,
c313441,2014-04-14,F,1975.0,경기도,고양시,41.0,40.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2014-04-14,,
c360428,2015-10-03,F,1970.0,경기도,고양시,46.0,40.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2015-10-03,,
c319034,2014-06-10,F,1974.0,경기도,고양시,42.0,40.0,61.0,1.0,2016-10-17 00:00:00,p1207281,1.0,2750.0,2016.0,10.0,0,2014-06-10,1.0,2750.0
c381503,2016-06-16,M,1977.0,경기도,고양시,39.0,30.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2016-06-16,,
c371075,2016-02-19,F,1968.0,경기도,고양시,48.0,40.0,63.0,2.0,2016-07-02 00:00:00,p1284851,2.0,5500.0,2016.0,7.0,0,2016-02-19,6.0,23775.0
c334275,2014-11-24,F,1980.0,경기도,고양시,36.0,30.0,121.0,5.0,2016-08-10 00:00:00,p1011291,1.0,273.0,2016.0,8.0,1,2014-11-24,,
c342914,2015-03-13,F,1979.0,경기도,고양시,37.0,30.0,33.0,3.0,2016-09-01 00:00:00,p1256521,1.0,1850.0,2016.0,9.0,0,2015-03-13,1.0,12850.0
c357993,2015-09-01,F,1979.0,경기도,고양시,37.0,30.0,229.0,3.0,2016-07-13 00:00:00,p1013251,1.0,1650.0,2016.0,7.0,1,2015-09-01,,
c391647,2016-10-25,F,1970.0,경기도,고양시,46.0,40.0,43.0,3.0,2016-11-22 00:00:00,p1175481,1.0,1300.0,2016.0,11.0,0,2016-10-25,2.0,6800.0
c306199,2014-01-17,F,1977.0,경기도,고양시,39.0,30.0,147.0,3.0,2016-07-30 00:00:00,p1005771,1.0,1850.0,2016.0,7.0,0,2014-01-17,,
c352817,2015-06-29,F,1962.0,경기도,고양시,54.0,50.0,37.0,7.0,2016-07-04 00:00:00,p1030071,2.0,4900.0,2016.0,7.0,0,2015-06-29,10.0,76439.0
c362875,2015-11-03,F,1980.0,경기도,고양시,36.0,30.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2015-11-03,,
c349634,2015-05-25,F,1967.0,경기도,고양시,49.0,40.0,153.0,1.0,2016-07-04 00:00:00,p1012751,1.0,1250.0,2016.0,7.0,0,2015-05-25,12.0,86408.0
c345899,2015-04-13,F,1981.0,경기도,과천시,35.0,30.0,17.0,2.0,2016-07-08 00:00:00,p1030071,1.0,2450.0,2016.0,7.0,0,2015-04-13,15.0,91864.0
c389049,2016-09-24,F,1983.0,경기도,과천시,33.0,30.0,29.0,4.0,2016-09-24 00:00:00,p1144661,1.0,1650.0,2016.0,9.0,1,2016-09-24,,
c316556,2014-05-15,F,1980.0,경기도,과천시,36.0,30.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2014-05-15,,
c337495,2015-01-06,F,1975.0,경기도,과천시,41.0,40.0,71.0,1.0,2016-07-06 00:00:00,p1012641,2.0,2200.0,2016.0,7.0,1,2015-01-06,3.0,3791.0
c387615,2016-09-01,F,1988.0,경기도,광명시,28.0,20.0,139.0,1.0,2016-09-13 00:00:00,p1012751,1.0,1500.0,2016.0,9.0,0,2016-09-01,1.0,600.0
c347234,2015-04-27,F,1983.0,경기도,광명시,33.0,30.0,169.0,4.0,2016-07-04 00:00:00,p1005771,1.0,1850.0,2016.0,7.0,0,2015-04-27,5.0,18200.0
c342408,2015-03-07,F,1980.0,경기도,광명시,36.0,30.0,177.0,6.0,2016-07-29 00:00:00,p1072601,1.0,4600.0,2016.0,7.0,0,2015-03-07,1.0,11042.0
c344774,2015-04-02,F,1978.0,경기도,광명시,38.0,30.0,101.0,3.0,2016-08-19 00:00:00,p1179241,1.0,1400.0,2016.0,8.0,0,2015-04-02,,
c336759,2014-12-26,F,1976.0,경기도,광명시,40.0,40.0,153.0,1.0,2016-07-19 00:00:00,p1200641,1.0,4600.0,2016.0,7.0,1,2014-12-26,5.0,18450.0
c320161,2014-06-20,F,1981.0,경기도,광명시,35.0,30.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2014-06-20,,
c392831,2016-11-07,F,1969.0,경기도,구리시,47.0,40.0,217.0,1.0,2016-11-14 00:00:00,p1235451,1.0,1227.0,2016.0,11.0,0,2016-11-07,2.0,7877.0
c312197,2014-04-01,F,1985.0,경기도,구리시,31.0,30.0,25.0,7.0,2016-07-02 00:00:00,p1005771,1.0,1850.0,2016.0,7.0,0,2014-04-01,8.0,52258.0
c368157,2016-01-11,F,1973.0,경기도,구리시,43.0,40.0,57.0,2.0,2016-07-25 00:00:00,p1233511,1.0,1900.0,2016.0,7.0,0,2016-01-11,2.0,9741.0
c313204,2014-04-11,M,1979.0,경기도,구리시,37.0,30.0,33.0,1.0,2016-07-31 00:00:00,p1072601,1.0,4600.0,2016.0,7.0,0,2014-04-11,7.0,15934.0
c350148,2015-05-30,F,1983.0,경기도,군포시,33.0,30.0,53.0,1.0,2016-07-04 00:00:00,p1013161,1.0,2950.0,2016.0,7.0,1,2015-05-30,,
c343799,2015-03-23,F,1974.0,경기도,군포시,42.0,40.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2015-03-23,,
c314144,2014-04-21,F,1957.0,경기도,군포시,59.0,50.0,215.0,1.0,2016-07-06 00:00:00,p1237811,1.0,8000.0,2016.0,7.0,0,2014-04-21,6.0,68443.0
c360613,2015-10-05,M,1981.0,경기도,군포시,35.0,30.0,169.0,2.0,2016-11-15 00:00:00,p1005771,1.0,1850.0,2016.0,11.0,1,2015-10-05,2.0,2850.0
c377134,2016-04-26,F,1967.0,경기도,군포시,49.0,40.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2016-04-26,,
c366888,2015-12-26,F,1977.0,경기도,김포시,39.0,30.0,157.0,1.0,2016-07-06 00:00:00,p1052661,1.0,1455.0,2016.0,7.0,0,2015-12-26,4.0,19540.0
c322766,2014-07-19,F,1980.0,경기도,김포시,36.0,30.0,125.0,2.0,2016-08-06 00:00:00,p1001771,1.0,3100.0,2016.0,8.0,0,2014-07-19,8.0,24414.0
c325237,2014-08-19,F,1982.0,경기도,김포시,34.0,30.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2014-08-19,,
c344728,2015-04-01,F,1960.0,경기도,김포시,56.0,50.0,217.0,7.0,2016-12-02 00:00:00,p1097591,1.0,600.0,2016.0,12.0,0,2015-04-01,2.0,48440.0
c351034,2015-06-09,F,1978.0,경기도,김포시,38.0,30.0,127.0,1.0,2016-07-14 00:00:00,p1097831,2.0,2636.0,2016.0,7.0,0,2015-06-09,4.0,8655.0
c355658,2015-08-04,F,1962.0,경기도,김포시,54.0,50.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2015-08-04,,
c330325,2014-10-16,F,1976.0,경기도,김포시,40.0,40.0,165.0,1.0,2016-08-25 00:00:00,p1072601,2.0,9200.0,2016.0,8.0,0,2014-10-16,1.0,10350.0
c384383,2016-07-19,F,1977.0,경기도,김포시,39.0,30.0,33.0,1.0,2016-08-30 00:00:00,p1175481,1.0,1300.0,2016.0,8.0,1,2016-07-19,1.0,3950.0
c375520,2016-04-08,F,1968.0,경기도,김포시,48.0,40.0,167.0,7.0,2016-07-22 00:00:00,p1012761,1.0,1900.0,2016.0,7.0,0,2016-04-08,,
c359520,2015-09-17,F,1980.0,경기도,김포시,36.0,30.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2015-09-17,,
c367579,2016-01-05,F,1972.0,경기도,김포시,44.0,40.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0,2016-01-05,,
c339083,2015-01-26,F,1979.0,경기도,김포시,37.0,30.0,21.0,1.0,2016-07-05 00:00:00,p1012751,1.0,1250.0,2016.0,7.0,0,2015-01-26,20.0,78722.0
c362929,2015-11-04,F,1984.0,경기도,김포시,32.0,30.0,159.0,2.0,2016-07-02 00:00:00,p1005891,2.0,3900.0,2016.0,7.0,0,2015-11-04,3.0,19264.0
c309627,2014-03-04,F,1975.0,경기도,김포시,41.0,40.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2014-03-04,,
c325775,2014-08-25,F,1970.0,경기도,김포시,46.0,40.0,167.0,7.0,2016-07-13 00:00:00,p1237811,1.0,8000.0,2016.0,7.0,0,2014-08-25,1.0,2000.0
c333692,2014-11-18,M,1981.0,경기도,김포시,35.0,30.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2014-11-18,,
c365376,2015-12-04,F,1962.0,경기도,김포시,54.0,50.0,105.0,1.0,2016-07-08 00:00:00,p1133371,3.0,3000.0,2016.0,7.0,0,2015-12-04,4.0,16600.0
c389540,2016-09-29,F,1972.0,경기도,김포시,44.0,40.0,109.0,3.0,2016-09-29 00:00:00,p1175481,1.0,1300.0,2016.0,9.0,0,2016-09-29,2.0,4800.0
c352238,2015-06-22,F,1981.0,경기도,남양주시,35.0,30.0,129.0,1.0,2016-10-14 00:00:00,p1162631,1.0,4600.0,2016.0,10.0,0,2015-06-22,5.0,9554.0
c319782,2014-06-17,F,1949.0,경기도,남양주시,67.0,60.0,125.0,8.0,2016-07-15 00:00:00,p1256521,1.0,1850.0,2016.0,7.0,0,2014-06-17,3.0,10150.0
c345572,2015-04-09,F,1978.0,경기도,남양주시,38.0,30.0,133.0,4.0,2016-09-09 00:00:00,p1005771,1.0,1850.0,2016.0,9.0,0,2015-04-09,5.0,38505.0
c317471,2014-05-23,F,1985.0,경기도,남양주시,31.0,30.0,149.0,2.0,2016-07-01 00:00:00,p1149411,1.0,1000.0,2016.0,7.0,1,2014-05-23,1.0,2450.0
c330770,2014-10-21,M,1968.0,경기도,남양주시,48.0,40.0,27.0,6.0,2016-12-24 00:00:00,p1194801,1.0,8370.0,2016.0,12.0,1,2014-10-21,1.0,8370.0
c331082,2014-10-24,F,1980.0,경기도,남양주시,36.0,30.0,179.0,4.0,2016-07-07 00:00:00,p1001771,1.0,3600.0,2016.0,7.0,0,2014-10-24,3.0,11900.0
c356929,2015-08-21,F,1980.0,경기도,남양주시,36.0,30.0,59.0,4.0,2016-07-13 00:00:00,p1030071,1.0,2050.0,2016.0,7.0,0,2015-08-21,,
c360197,2015-09-30,F,1971.0,경기도,남양주시,45.0,40.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2015-09-30,,
c386860,2016-08-24,F,1960.0,경기도,남양주시,56.0,50.0,65.0,4.0,2016-08-24 00:00:00,p1012751,1.0,1380.0,2016.0,8.0,0,2016-08-24,,
c310138,2014-03-10,F,1962.0,경기도,남양주시,54.0,50.0,245.0,5.0,2016-09-13 00:00:00,p1005891,2.0,3900.0,2016.0,9.0,1,2014-03-10,,
c317345,2014-05-22,F,1988.0,경기도,남양주시,28.0,20.0,3.0,2.0,2016-07-02 00:00:00,p1005771,1.0,1850.0,2016.0,7.0,1,2014-05-22,1.0,4150.0
c324615,2014-08-12,F,1983.0,경기도,남양주시,33.0,30.0,7.0,3.0,2016-07-01 00:00:00,p1013161,1.0,2950.0,2016.0,7.0,0,2014-08-12,18.0,74699.0
c334322,2014-11-24,F,1981.0,경기도,남양주시,35.0,30.0,171.0,1.0,2016-07-20 00:00:00,p1175481,1.0,1300.0,2016.0,7.0,1,2014-11-24,1.0,2250.0
c340690,2015-02-12,F,1956.0,경기도,남양주시,60.0,60.0,37.0,1.0,2016-08-02 00:00:00,p1175481,1.0,1300.0,2016.0,8.0,0,2015-02-12,2.0,3900.0
c337558,2015-01-07,M,1977.0,경기도,부천시,39.0,30.0,201.0,1.0,2016-12-20 00:00:00,p1284851,1.0,2750.0,2016.0,12.0,0,2015-01-07,3.0,28460.0
c324236,2014-08-07,F,1978.0,경기도,부천시,38.0,30.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2014-08-07,,
c385109,2016-07-29,F,1978.0,경기도,부천시,38.0,30.0,91.0,5.0,2016-08-31 00:00:00,p1026741,1.0,3227.0,2016.0,8.0,0,2016-07-29,2.0,26150.0
c367948,2016-01-08,F,1989.0,경기도,부천시,27.0,20.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2016-01-08,,
c307671,2014-02-10,F,1974.0,경기도,부천시,42.0,40.0,67.0,1.0,2016-11-01 00:00:00,p1054261,1.0,2091.0,2016.0,11.0,0,2014-02-10,1.0,2091.0
c345760,2015-04-12,F,1972.0,경기도,부천시,44.0,40.0,49.0,7.0,2016-08-21 00:00:00,p1233511,1.0,1900.0,2016.0,8.0,0,2015-04-12,1.0,2950.0
c338489,2015-01-17,M,1965.0,경기도,부천시,51.0,50.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2015-01-17,,
c391637,2016-10-24,F,1973.0,경기도,부천시,43.0,40.0,169.0,1.0,2016-10-29 00:00:00,p1162631,3.0,9840.0,2016.0,10.0,1,2016-10-24,7.0,34771.0
c307908,2014-02-12,F,1988.0,경기도,부천시,28.0,20.0,119.0,3.0,2016-08-01 00:00:00,p1144371,2.0,3000.0,2016.0,8.0,0,2014-02-12,,
c326888,2014-09-11,F,1957.0,경기도,부천시,59.0,50.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2014-09-11,,
c356404,2015-08-14,F,1977.0,경기도,부천시,39.0,30.0,89.0,3.0,2016-10-02 00:00:00,p1005621,1.0,2900.0,2016.0,10.0,0,2015-08-14,4.0,21750.0
c368106,2016-01-10,F,1980.0,경기도,부천시,36.0,30.0,57.0,5.0,2016-07-06 00:00:00,p1255281,2.0,2364.0,2016.0,7.0,0,2016-01-10,1.0,8600.0
c306915,2014-01-29,F,1975.0,경기도,부천시,41.0,40.0,119.0,7.0,2016-07-01 00:00:00,p1052661,1.0,1455.0,2016.0,7.0,0,2014-01-29,8.0,59250.0
c307480,2014-02-07,F,1979.0,경기도,부천시,37.0,30.0,9.0,8.0,2016-07-30 00:00:00,p1284851,1.0,2750.0,2016.0,7.0,0,2014-02-07,4.0,22882.0
c362922,2015-11-04,F,1978.0,경기도,부천시,38.0,30.0,107.0,3.0,2016-07-22 00:00:00,p1012881,1.0,1600.0,2016.0,7.0,0,2015-11-04,9.0,85092.0
c330886,2014-10-22,F,1982.0,경기도,부천시,34.0,30.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2014-10-22,,
c335309,2014-12-06,F,1974.0,경기도,부천시,42.0,40.0,149.0,4.0,2016-09-03 00:00:00,p1012761,1.0,1810.0,2016.0,9.0,0,2014-12-06,1.0,3500.0
c352800,2015-06-28,F,1980.0,경기도,부천시,36.0,30.0,113.0,1.0,2016-07-12 00:00:00,p1246581,1.0,1136.0,2016.0,7.0,0,2015-06-28,5.0,23040.0
c385783,2016-08-09,F,1983.0,경기도,부천시,33.0,30.0,65.0,2.0,2016-08-21 00:00:00,p1144371,1.0,1650.0,2016.0,8.0,1,2016-08-09,,
c370258,2016-02-06,F,1976.0,경기도,부천시,40.0,40.0,209.0,6.0,2016-11-25 00:00:00,p1072601,1.0,4600.0,2016.0,11.0,1,2016-02-06,2.0,6800.0
c312325,2014-04-02,F,1975.0,경기도,부천시,41.0,40.0,177.0,3.0,2016-07-04 00:00:00,p1012751,1.0,1250.0,2016.0,7.0,0,2014-04-02,,
c332761,2014-11-07,F,1975.0,경기도,부천시,41.0,40.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2014-11-07,,
c350213,2015-06-01,F,1976.0,경기도,부천시,40.0,40.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2015-06-01,,
